"","variable","relative_importance","scaled_importance","percentage"
"98","Offense.Opponent",0.0735037922859192,0.0735037922859192,0.00583003813070771
"99","Ss.Team",0.0734811127185822,0.0734811127185822,0.00582823927464531
"100","Matchup.WRCB2.Team",0.0723224729299545,0.0723224729299545,0.00573634042239047
"101","Team.CB.1.ovr",0.071880578994751,0.071880578994751,0.00570129109484089
"102","Matchup.WRCB2.Opponent",0.0688216239213943,0.0688216239213943,0.00545866654224067
"103","Team.DL.3.ovr",0.0687423720955849,0.0687423720955849,0.00545238059219607
"104","Week.10",0.0687283650040627,0.0687283650040627,0.00545126960356358
"105","variable.HomeAbr",0.0669464319944382,0.0669464319944382,0.00530993353001697
"106","Team.K.1.ovr",0.0642247498035431,0.0642247498035431,0.00509406016540383
"107","Depth.TE5",0.064130075275898,0.064130075275898,0.0050865509459607
"108","Week.14",0.0620147250592709,0.0620147250592709,0.00491876950177663
"109","Week.7",0.056177657097578,0.056177657097578,0.00445579571865768
"110","Week.17",0.0553712099790573,0.0553712099790573,0.00439183143456896
"111","Week.8",0.0551503598690033,0.0551503598690033,0.00437431445316237
"112","Week.2",0.0510905794799328,0.0510905794799328,0.00405230828539197
"113","Week.13",0.0475850068032742,0.0475850068032742,0.00377425974205441
"114","Week.6",0.0465491786599159,0.0465491786599159,0.00369210183720579
"115","Week.12",0.0453161224722862,0.0453161224722862,0.00359430056236513
"116","Week.9",0.0451610833406448,0.0451610833406448,0.00358200345467707
"117","Week.1",0.0434282422065735,0.0434282422065735,0.00344456115990679
"118","Week.5",0.0433931201696396,0.0433931201696396,0.00344177541500595
"119","Week.16",0.0400316081941128,0.0400316081941128,0.00317515321246816
"120","Week.4",0.038173858076334,0.038173858076334,0.00302780361747248
"121","Depth.TE7",0.0371698960661888,0.0371698960661888,0.00294817321176279
"122","Depth.TE6",0.0356500633060932,0.0356500633060932,0.00282762592205032
"123","Week.11",0.0337919779121876,0.0337919779121876,0.00268024973424162
"124","Week.missing(NA)",0,0,0
"125","Depth.missing(NA)",0,0,0
"126","variable.missing(NA)",0,0,0
